Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2009-10,SB 6453,6453,,2009-10,HB 2492,HRules 3C,2010-03-12,0,0,SB 6453,Effective date 6/10/2010.,0,C 50 L 10,0,0,2010-01-14,"AN ACT Relating to shared leave for members of the law enforcement officers' and firefighters' retirement system, plan 2;",0,"Addressing shared leave for members of the law enforcement officers' and firefighters' retirement system, plan 2.",Senate,12072,Z-1016.1,0,0,0,1,LEOFF plan 2 shared leave,Bill,B,(Hobbs),1,0
1,0,2009-10,SB 6454,6454,,2009-10,HB 2596,Hsubst for,2010-03-15,0,0,SB 6454,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2010-01-14,AN ACT Relating to defining child advocacy centers for the multidisciplinary investigation of child abuse and implementation of county protocols;,0,Defining child advocacy centers for the multidisciplinary investigation of child abuse and implementation of county protocols.,Senate,8159,S-3869.1,0,0,0,0,Child advocacy centers,Bill,B,(Brandland),0,0
1,0,2009-10,SSB 6454,6454,,,,,2010-03-15,0,0,SSB 6454,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2010-02-04,AN ACT Relating to defining child advocacy centers for the multidisciplinary investigation of child abuse and implementation of county protocols;,0,Defining child advocacy centers for the multidisciplinary investigation of child abuse and implementation of county protocols.,Senate,8159,S-4455.1,0,0,0,0,Child advocacy centers,Bill,B,(Brandland),0,1
1,0,2009-10,SB 6455,6455,,,,,2010-03-15,0,0,SB 6455,"By resolution, reintroduced and retained in present status.",0,S Transportation,0,0,2010-01-14,AN ACT Relating to liability for damage to property owned by the department of transportation;,0,Concerning liability for damage to property owned by the department of transportation.,Senate,174,S-3832.1,0,0,0,0,Damage to DOT property,Bill,B,(Haugen),1,0
1,0,2009-10,SB 6456,6456,,2009-10,HB 2646,HCommerce/Lab,2010-03-15,0,0,SB 6456,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2010-01-14,"AN ACT Relating to improving administration of wage complaints by defining the limitations period for administrative wage claims through the department of labor and industries, tolling the civil statute of limitations, increasing minimum penalties for violators, creating and affecting waiver of penalties for repeat violators and those with a business practice of disregard for wage law, and providing for wage law violation liability for successor businesses;",0,Improving administration of wage complaints.,Senate,2304,S-3708.1,0,0,0,0,Wage complaints,Bill,B,(Kline),1,0
1,0,2009-10,SSB 6456,6456,,,,,2010-03-15,0,0,SSB 6456,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2010-02-04,"AN ACT Relating to improving administration of wage complaints by defining the limitations period for administrative wage claims through the department of labor and industries, clarifying the requirements for the department to extend the time period for wage complaint investigations, revising the department's bond authority, tolling the civil statute of limitations, increasing minimum penalties for violators, creating and affecting waiver of penalties for repeat willful violators, and providing for wage law violation liability for successor businesses;",0,Improving administration of wage complaints.,Senate,2304,S-4343.2,0,0,0,0,Wage complaints,Bill,B,(Kline),1,1
1,0,2009-10,SB 6457,6457,,2009-10,HB 2844,HFinance,2010-03-15,0,0,SB 6457,"By resolution, reintroduced and retained in present status.",0,S Ways & Means,0,0,2010-01-14,AN ACT Relating to excise tax relief for nuclear fuel assemblies;,0,Concerning excise tax relief for nuclear fuel assemblies.,Senate,1574,S-3784.1,0,0,0,0,Nuclear fuel assemblies,Bill,B,(Delvin),0,0
1,0,2009-10,SB 6458,6458,,,,,2010-03-15,0,0,SB 6458,"By resolution, reintroduced and retained in present status.",0,S Env/Water/Ener,0,0,2010-01-14,AN ACT Relating to minimum renewable fuel content requirements;,0,Concerning minimum renewable fuel content requirements.,Senate,14074,S-3637.2,0,0,0,0,Renewable fuel content,Bill,B,(Ranker),1,0
0,0,2009-10,SB 6459,6459,,,,,2010-02-15,0,0,SB 6459,1st substitute bill substituted.,0,S subst for,0,0,2010-01-14,AN ACT Relating to the inspection of rental properties;,0,Concerning the inspection of rental properties.,Senate,12072,S-3750.1,0,0,0,0,Rental property inspection,Bill,B,(Hobbs),0,0
1,0,2009-10,SSB 6459,6459,,,,,2010-03-19,1,1,SSB 6459,Effective date 6/10/2010.,0,C 148 L 10,0,0,2010-02-05,AN ACT Relating to the inspection of rental properties;,1,Concerning the inspection of rental properties.,Senate,12072,S-3991.2,0,0,0,0,Rental property inspection,Bill,B,(Hobbs),1,1
1,0,2009-10,SB 6460,6460,,,,,2010-03-15,0,0,SB 6460,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2010-01-14,AN ACT Relating to preparation charges for condominium resale certificates;,0,Increasing the charge limit for the preparation of condominium resale certificates.,Senate,11968,S-3711.1,0,0,0,0,Condo resale certificates,Bill,B,(Marr),0,0
1,0,2009-10,SB 6461,6461,,,,,2010-03-15,0,0,SB 6461,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2010-01-14,AN ACT Relating to immunity from liability for civil damages for firefighters;,0,Providing limited immunity for firefighters providing emergency services.,Senate,1577,S-3745.1,0,0,0,0,Firefighter limited immunity,Bill,B,(Honeyford),0,0
1,0,2009-10,ESB 6462,6462,,,,,2010-03-15,0,1,ESB 6462,"By resolution, reintroduced and retained in present status.",0,S Rules 3,0,1,2010-01-14,AN ACT Relating to firefighter duties;,0,Addressing the duties of a firefighter at the scene of a wildfire beyond the boundaries of the firefighter's district.,Senate,1577,S-3779.1,0,0,0,0,Firefighter duties/wildfire,Bill,B,(Honeyford),0,0
