group,groupDesc,longDesc,passedId,num,ver,status.cat,status.comm,status.first,status.chamber,actionLine,active,sponsor,intro,action,fn,req,approp,current,prefiled,rcws
"2051","Medicaid patients/discharge","Concerning payment to acute care hospitals for difficult to discharge medicaid patients.","SHB 2051","2051","HB 2051","SUBSTITUTED","","","H","1st substitute bill substituted.","0","Gregerson","2025-03-24","2025-04-17","SFN,Loc","","0","0","0",""
"2051","Medicaid patients/discharge","Concerning payment to acute care hospitals for difficult to discharge medicaid patients.","SHB 2051","2051","SHB 2051","ENACTED","","","","Effective date 7/27/2025.","1","Gregerson","2025-04-05","2025-05-19","SFN,Loc","","0","0","0",""
"2052","Agricultural overtime waiver","Allowing agricultural employees to voluntarily waive overtime requirements for up to 15 workweeks in a calendar year.","","2052","HB 2052","COMMITTEE","LWS","true","H","First reading, referred to Labor & Workplace Standards.","1","Mendoza","2025-03-25","2025-03-25","","","0","0","0",""
"2053","State employment FTE limit","Concerning limiting state employment based on population.","","2053","HB 2053","COMMITTEE","APP","true","H","First reading, referred to Appropriations.","1","Couture","2025-03-25","2025-03-25","","","0","0","0",""
"2054","Higher education FTE limit","Limiting the number of full-time equivalent employees in higher education.","","2054","HB 2054","COMMITTEE","APP","true","H","First reading, referred to Appropriations.","1","Couture","2025-03-25","2025-03-25","","","0","0","0","28b.35.390|28b.40.390|28b.50.090"
"2055","State revenue limit","Establishing a state revenue limit and directing excess revenues be deposited in the budget stabilization account.","","2055","HB 2055","COMMITTEE","APP","true","H","First reading, referred to Appropriations.","1","Couture","2025-03-25","2025-03-25","","","0","0","0","43.135|43.135.025|43.79.495"
"2056","State expenditure limit","Reestablishing a state expenditure limit.","","2056","HB 2056","COMMITTEE","APP","true","H","First reading, referred to Appropriations.","1","Couture","2025-03-25","2025-03-25","","","0","0","0","43.135|43.135.025"
"2057","New programs","Concerning the identification and review of new programs.","","2057","HB 2057","COMMITTEE","SGTR","true","H","First reading, referred to State Government & Tribal Relations.","1","Couture","2025-03-25","2025-03-25","","","0","0","0","43.09|43.88.090"
"2058","Private entity audits","Concerning third-party audits of private entities receiving public moneys.","","2058","HB 2058","COMMITTEE","SGTR","true","H","First reading, referred to State Government & Tribal Relations.","1","Couture","2025-03-25","2025-03-25","","","0","0","0",""
"2059","State funds/private entities","Requiring certain disclosures from private entities that receive state funding.","","2059","HB 2059","COMMITTEE","CPB","true","H","First reading, referred to Consumer Protection & Business.","1","Couture","2025-03-25","2025-03-25","","","0","0","0",""
"2060","Elected officials/employment","Prohibiting elected officials and their spouses from holding employment or any beneficial interest in private entities.","","2060","HB 2060","COMMITTEE","SGTR","true","H","First reading, referred to State Government & Tribal Relations.","1","Couture","2025-03-25","2025-03-25","","","0","0","0",""
"2061","Duty-free sales enterprises","Regarding concession fees by duty-free sales enterprises.","ESHB 2061","2061","HB 2061","SUBSTITUTED","","","H","1st substitute bill substituted.","0","Fitzgibbon","2025-03-26","2025-04-18","SFN","","0","0","0","14.08.330|19"
"2061","Duty-free sales enterprises","Regarding concession fees by duty-free sales enterprises.","ESHB 2061","2061","SHB 2061","OTHER","","","H","","0","Fitzgibbon","2025-04-08","","SFN","","0","0","0","14.08.330|19|43.31|43.384.040"
"2061","Duty-free sales enterprises","Regarding concession fees by duty-free sales enterprises.","ESHB 2061","2061","ESHB 2061","ENACTED","","","","Effective date 1/1/2026.","1","Fitzgibbon","2025-04-08","2025-05-20","SFN","","0","0","0","14.08.330|19|43.31|43.384.040"
"2062 / 5778","Maple syrup processing","Addressing maple syrup processing operations.","","2062","HB 2062","COMMITTEE","AGNR","true","H","First reading, referred to Agriculture & Natural Resources.","1","Bernbaum","2025-03-27","2025-03-27","SFN","","0","0","0",""
"2062 / 5778","Maple syrup processing","Addressing maple syrup processing operations.","","2062","SB 5778","COMMITTEE","AGNR","true","S","First reading, referred to Agriculture & Natural Resources.","1","Shewmake","2025-02-25","2025-02-25","SFN","","0","0","0",""
"2063","HS completers/CTC tuition","Adjusting tuition waivers for high school completers at community and technical colleges.","","2063","HB 2063","COMMITTEE","PEW","true","H","First reading, referred to Postsecondary Education & Workforce.","1","Couture","2025-03-27","2025-03-27","","","0","0","0",""
"2064","Electronic ballot return","Authorizing the secretary of state to develop and test electronic methods of ballot return for service and overseas voters, disabled voters, and certain incarcerated voters.","","2064","HB 2064","COMMITTEE","SGTR","true","H","First reading, referred to State Government & Tribal Relations.","1","Farivar","2025-03-28","2025-03-28","","","0","0","0",""
"2065","Higher ed. admin. staffing","Reducing administrative staffing at institutions of higher education.","","2065","HB 2065","COMMITTEE","PEW","true","H","First reading, referred to Postsecondary Education & Workforce.","1","Couture","2025-03-28","2025-03-28","","","0","0","0",""
