Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2005-06,SB 6779,6779,,,,,2006-02-02,0,0,SB 6779,Referred to Ways & Means.,0,S Ways & Means,0,0,2006-01-23,AN ACT Relating to a state public utility tax credit for providing special needs transportation services;,0,Authorizing a public utility tax credit for the cost of providing certain special needs transportation services.,Senate,295,S-4476.1,0,0,0,0,Special needs trans service,Bill,B,(Morton),1,0
1,0,2005-06,SSB 6779,6779,,,,,2006-02-02,0,0,SSB 6779,Referred to Ways & Means.,0,S Ways & Means,0,0,2006-02-01,AN ACT Relating to rural public utility districts;,0,Addressing special needs transportation services provided by rural public utility districts.,Senate,295,S-4726.2,0,0,0,0,Special needs trans service,Bill,B,(Morton),0,1
1,0,2005-06,SB 6780,6780,,,,,2006-02-24,0,0,SB 6780,"Senate Rules ""X"" file.",0,S Rules X,0,0,2006-01-23,AN ACT Relating to mathematics and science education;,0,Creating a mathematics/science scholar high school diploma and scholarship.,Senate,644,S-4172.3,0,0,0,0,Math and science education,Bill,B,(Kohl-Welles),1,0
1,0,2005-06,SSB 6780,6780,,,,,2006-02-24,0,0,SSB 6780,"Senate Rules ""X"" file.",0,S Rules X,0,0,2006-02-02,AN ACT Relating to mathematics and science education;,0,Creating a mathematics/science scholar diploma designation and scholarship.,Senate,644,S-4867.1,0,0,0,0,Math and science education,Bill,B,(Kohl-Welles),0,1
0,0,2005-06,SB 6781,6781,,,,,2006-02-20,0,0,SB 6781,1st substitute bill substituted.,0,S subst for,0,0,2006-01-23,AN ACT Relating to environmental remediation;,0,Modifying the excise taxation of environmental remediation services.,Senate,337,S-4397.1,0,0,0,0,Environmental remediation,Bill,B,(Prentice),1,0
1,0,2005-06,SSB 6781,6781,,,,,2006-03-29,0,0,SSB 6781,Governor vetoed.,0,Gov vetoed,1,0,2006-02-17,AN ACT Relating to environmental remediation;,0,Modifying the excise taxation of environmental remediation services.,Senate,337,S-5271.1,0,0,0,0,Environmental remediation,Bill,B,WM(Prentice),1,1
1,0,2005-06,SB 6782,6782,,2005-06,HB 3103,HState Govt,2006-01-23,0,0,SB 6782,"First reading, referred to Labor, Commerce, Research & Development.",0,S Lab/Comm/RD,0,0,2006-01-23,AN ACT Relating to authorizing state employees to express their professional opinions and use their independent professional judgments;,0,Authorizing state employees to express their professional opinions.,Senate,143,S-4297.1,0,0,0,0,State employees' opinions,Bill,B,(Fraser),0,0
1,0,2005-06,SB 6783,6783,,,,,2006-02-02,0,0,SB 6783,Referred to Ways & Means.,0,S Ways & Means,0,0,2006-01-23,AN ACT Relating to creating a scholarship for students entering mathematics and science professions;,0,Creating the qualified professions conditional scholarship.,Senate,655,S-4110.1,0,0,0,0,Math & science scholarship,Bill,B,(Shin),1,0
1,0,2005-06,SSB 6783,6783,,,,,2006-02-02,0,0,SSB 6783,Referred to Ways & Means.,0,S Ways & Means,0,0,2006-02-02,AN ACT Relating to creating a scholarship for students entering mathematics and science professions;,0,Creating the qualified professions conditional scholarship.,Senate,655,S-5011.1,0,0,0,0,Math & science scholarship,Bill,B,(Shin),0,1
1,0,2005-06,SB 6784,6784,,,,,2006-01-23,0,0,SB 6784,"First reading, referred to Ways & Means.",0,S Ways & Means,0,0,2006-01-23,AN ACT Relating to sales and use tax exemptions for prescribed durable medical equipment used in the home and prescribed mobility enhancing equipment;,0,Providing sales and use tax exemptions for prescribed durable medical equipment used in the home and prescribed mobility enhancing equipment.,Senate,2167,S-4294.1,0,0,0,0,Medical equipment,Bill,B,(Benson),1,0
