Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2003-04,SHB 1346,1346,,,,,2003-04-18,0,0,SHB 1346,Effective date 7/27/2003.,0,C 66 L 03,0,0,2003-02-25,AN ACT Relating to vacation of records of conviction for pre-sentencing reform act felony offenses;,0,Changing provisions relating to vacation of records of conviction for pre-sentencing reform act felony offenses.,House,3476,H-1483.1,0,0,0,0,Felony vacation of records,Bill,B,(Lovick),0,1
1,1,2003-04,HB 1347,1347,,,,,2004-01-12,0,0,HB 1347,"By resolution, reintroduced and retained in present status.",0,H Cap Budget,0,0,2003-01-23,AN ACT Relating to the capital budget;,0,Making supplemental appropriations and authorizing expenditures for capital improvements.,House,630,H-0803.1,0,0,0,0,Capital supp buget,Bill,B,(Dunshee),0,0
1,0,2003-04,HB 1348,1348,,2003-04,SB 5171,SRules X,2003-04-18,0,0,HB 1348,Effective date 7/27/2003.,0,C 67 L 03,0,0,2003-01-23,AN ACT Relating to technical corrections concerning manufactured and mobile homes under the authority of RCW 1.08.025;,0,Making technical corrections.,House,8412,Z-0143.1,0,0,0,1,RCW technical corrections,Bill,B,(Flannigan),0,0
1,0,2003-04,HB 1349,1349,,2003-04,SB 5172,C 39 L 03,2004-01-14,0,0,HB 1349,"House Rules ""X"" file.",0,H Rules X,0,0,2003-01-23,AN ACT Relating to making technical corrections to the Revised Code of Washington under the authority of RCW 1.08.025;,0,Correcting obsolete references to fish and wildlife statutes.,House,8412,Z-0140.1,0,0,0,1,Fish & wildlife statutes,Bill,B,(Flannigan),0,0
1,0,2003-04,HB 1350,1350,,2003-04,SB 5173,SRules X,2003-05-09,0,0,HB 1350,Effective date 7/27/2003.,0,C 199 L 03,0,0,2003-01-23,AN ACT Relating to making technical corrections concerning notaries public under the authority of RCW 1.08.025;,0,Repealing RCW 42.44.040.,House,8412,Z-0141.1,0,0,0,1,RCW42.44.040 tech correction,Bill,B,(Flannigan),0,0
1,0,2003-04,HB 1351,1351,,2003-04,SB 5170,SRules X,2003-05-12,0,0,HB 1351,Effective date 7/27/2003.,0,C 254 L 03,0,0,2003-01-23,AN ACT Relating to correction of outdated internal references in the Revised Code of Washington;,0,Correcting outdated internal references.,House,8412,Z-0126.2,0,0,0,1,RCW outdated references,Bill,B,(Flannigan),0,0
1,0,2003-04,HB 1352,1352,,2003-04,SB 5367,SRules X,2003-05-09,0,0,HB 1352,Effective date 7/27/2003.,0,C 190 L 03,0,0,2003-01-23,AN ACT Relating to apportionment of the cost of installing and maintaining signals or warning devices at railroad-highway grade crossings;,1,Apportioning railroad crossing installation and maintenance costs.,House,1907,Z-0430.1,0,0,0,1,Railroad crossings,Bill,B,(Murray),1,0
1,0,2003-04,HB 1353,1353,,,,,2004-01-12,0,0,HB 1353,"By resolution, reintroduced and retained in present status.",0,H Rules 3C,0,0,2003-01-23,AN ACT Relating to state route number 513;,1,Modifying the route description of state route 513.,House,1907,Z-0002.1,0,0,0,0,State route number 513,Bill,B,(Murray),1,0
1,0,2003-04,HB 1354,1354,,2003-04,SB 5735,SGovt Op & El,2004-01-12,0,0,HB 1354,"By resolution, reintroduced and retained in present status.",0,H Local Gov.,0,0,2003-01-23,AN ACT Relating to adjusting the limit applicable to the contracting of public works by a special purpose water-sewer district;,0,Adjusting the limit applicable to the contracting of public works by a special purpose water-sewer district.,House,1712,H-0105.2,0,0,0,0,Water-sewer districts,Bill,B,(Upthegrove),0,0
1,0,2003-04,HB 1355,1355,,2003-04,SB 5447,SRules X,2004-01-12,0,0,HB 1355,"By resolution, reintroduced and retained in present status.",0,H Local Gov.,0,0,2003-01-23,AN ACT Relating to city assumption of water-sewer districts;,0,Requiring voter approval of certain city assumptions of water-sewer districts.,House,3478,H-0106.1,0,0,0,0,Water-sewer districts,Bill,B,(Miloscia),0,0
1,0,2003-04,HB 1356,1356,,,,,2003-05-14,1,1,HB 1356,Effective date 7/27/2003.,0,C 296 L 03,0,0,2003-01-23,AN ACT Relating to updating utilities and transportation commission regulatory fees;,0,Updating utilities and transportation commission regulatory fees.,House,630,Z-0050.4,0,0,0,1,Utilities & trans fees,Bill,B,(Dunshee),1,0
0,0,2003-04,HB 1357,1357,,2003-04,SB 5423,Ssubst for,2004-02-17,0,0,HB 1357,1st substitute bill substituted.,0,H subst for,0,0,2003-01-23,AN ACT Relating to the taxation of physical fitness services;,1,Modifying the taxation of physical fitness services.,House,649,H-0028.1,0,0,0,0,Physical fitness taxation,Bill,B,(Quall),1,0
1,0,2003-04,SHB 1357,1357,,,,,2004-03-11,0,1,SHB 1357,"By resolution, returned to House Rules Committee for third reading.",0,H Rules 3C,0,0,2004-02-05,AN ACT Relating to the taxation of physical fitness services;,1,Modifying the taxation of physical fitness services.,House,649,H-4908.1,0,0,0,0,Physical fitness taxation,Bill,B,(Quall),1,1
1,0,2003-04,HB 1358,1358,,2003-04,ESB 5210,C 211 L 03,2004-01-12,0,0,HB 1358,"By resolution, reintroduced and retained in present status.",0,H Commerce/Lab,0,0,2003-01-23,AN ACT Relating to electrician certification;,0,Modifying electrician certification provisions.,House,2149,H-0023.1,0,0,0,0,Electrician certification,Bill,B,(O'Brien),0,0
1,0,2003-04,HB 1359,1359,,2003-04,SB 5446,STech & Comm,2004-01-12,0,0,HB 1359,"By resolution, reintroduced and retained in present status.",0,H Trans,0,0,2003-01-23,AN ACT Relating to household goods carriers operating without a permit;,0,Denying telecommunications services to unlicensed household goods carriers.,House,5157,H-0669.1,0,0,0,0,Household goods carriers,Bill,B,"(Simpson, G.)",0,0
0,0,2003-04,HB 1360,1360,,,,,2003-03-06,0,0,HB 1360,1st substitute bill substituted.,0,H subst for,0,0,2003-01-23,AN ACT Relating to membership of the information services board;,0,Changing membership on the information services board.,House,3482,H-0870.1,0,0,0,0,Information services board,Bill,B,(Ruderman),0,0
1,0,2003-04,ESHB 1360,1360,,,,,2004-01-14,0,1,ESHB 1360,"House Rules ""X"" file.",0,H Rules X,0,1,2003-02-14,AN ACT Relating to membership of the information services board;,0,Allowing additional members on the information services board.,House,3482,H-1681.1,0,0,0,0,Information services board,Bill,B,(Ruderman),0,1
1,0,2003-04,HB 1361,1361,,2003-04,SB 5552,SRules X,2003-05-20,1,1,HB 1361,Effective date 5/20/2003.,0,C 396 L 03,0,0,2003-01-23,AN ACT Relating to the state agricultural commodity commissions;,0,Increasing the powers of the state agricultural commodity commissions.,House,646,H-0053.3,0,0,0,0,Commodity commissions,Bill,B,(Linville),1,0
1,0,2003-04,HB 1362,1362,,,,,2004-01-12,0,0,HB 1362,"By resolution, reintroduced and retained in present status.",0,H Finance,0,0,2003-01-23,AN ACT Relating to providing funding for transportation purposes;,0,Using auto parts sales taxes for transportation funding.,House,7240,H-0871.1,0,0,0,0,Auto parts sales & use taxes,Bill,B,(Sullivan),0,0
1,0,2003-04,EHB 1363,1363,,2003-04,SB 5142,Ssubst for,2004-01-14,0,1,EHB 1363,"House Rules ""X"" file.",0,H Rules X,0,1,2003-01-23,AN ACT Relating to permitting children of certificated and classified school employees to enroll at the school where the employee is assigned;,0,Permitting the children of certificated and classified school employees to enroll at the school where the employee is assigned.,House,5141,H-0697.1,0,0,0,0,Children of school employees,Bill,B,(McDermott),0,0
1,0,2003-04,HB 1364,1364,,,,,2004-01-12,0,0,HB 1364,"By resolution, reintroduced and retained in present status.",0,H Finance,0,0,2003-01-23,AN ACT Relating to prohibiting municipal taxation of intellectual property creating activities;,1,Prohibiting municipal taxation of intellectual property creating activities.,House,2144,H-0754.1,0,0,0,0,Intellectual property,Bill,B,(Morris),0,0
1,0,2003-04,HB 1365,1365,,,,,2004-01-12,0,0,HB 1365,"By resolution, reintroduced and retained in present status.",0,H Finance,0,0,2003-01-23,"AN ACT Relating to excise taxes on generation, distribution, and sale of electric property;",1,"Modifying excise taxes on generation, distribution, and sale of electricity.",House,2144,H-0627.1,0,0,0,0,Electricity tax,Bill,B,(Morris),1,0
1,1,2003-04,HB 1366,1366,,2003-04,SB 5404,Ssubst for,2004-01-12,0,0,HB 1366,"By resolution, reintroduced and retained in present status.",0,H Approp,0,0,2003-01-23,AN ACT Relating to fiscal matters;,0,Making 2003-05 operating appropriations.,House,407,Z-0360.2,0,0,1,0,Operating budget 2003-05,Bill,B,(Sommers),0,0
0,0,2003-04,HB 1367,1367,,,,,2003-02-19,0,0,HB 1367,1st substitute bill substituted.,0,H subst for,0,0,2003-01-23,AN ACT Relating to government accountability;,0,Authorizing the legislative accountability board to conduct expanded performance reviews.,House,3481,H-0929.1,0,0,0,0,Government accountability,Bill,B,(Rockefeller),1,0
