Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,1993-94,HB 2115,2115,,,,,1994-03-11,0,0,HB 2115,"By resolution, reintroduced and retained in present status.",0,H Approp,0,0,1993-04-02,,0,Eliminating registration of entities involved in charitable solicitations.,House,135,,0,1,0,0,Charitable solicitations,Bill,B,"(Fisher, G.)",0,0
1,0,1993-94,HB 2116,2116,,1993-94,SB 5973,C 441 L 93,1994-03-11,0,0,HB 2116,"By resolution, reintroduced and retained in present status.",0,H Rules X,0,0,1993-04-02,,1,Requiring the secretary of state to provide a copy of the state-wide computer file of registered voters to persons requesting a copy.,House,135,,0,1,0,0,Voter registration tapes,Bill,B,"(Fisher, G.)",1,0
1,0,1993-94,HB 2117,2117,,1993-94,SB 5971,Ssubst for,1994-03-11,0,0,HB 2117,"By resolution, reintroduced and retained in present status.",0,H Approp,0,0,1993-04-02,,0,Expanding school breakfast and lunch programs.,House,245,,0,0,1,0,School breakfast/lunch progr,Bill,B,(Leonard),0,0
1,0,1993-94,HB 2118,2118,,,,,1994-03-11,0,0,HB 2118,"By resolution, reintroduced and retained in present status.",0,H Approp,0,0,1993-04-02,,0,"Changing the budgeting, accounting, and reporting system.",House,662,,0,1,0,0,Budgeting & accounting systm,Bill,B,(Wolfe),0,0
1,0,1993-94,HB 2119,2119,,1993-94,SB 5824,SGovt Oper,1993-05-10,0,0,HB 2119,"Chapter 278, 1993 Laws",0,C 278 L 93,0,0,1993-04-02,,0,Abolishing the state professional athletic commission.,House,630,,0,1,0,0,Professional athletic commis,Bill,B,(Dunshee),0,0
1,0,1993-94,HB 2120,2120,,,,,1994-03-11,0,0,HB 2120,"By resolution, reintroduced and retained in present status.",0,H Trans,0,0,1993-04-02,,0,Modifying disposition of motor vehicle excise tax revenue.,House,136,,0,1,0,0,Motor vehicle excise tax,Bill,B,"(Fisher, R.)",0,0
1,0,1993-94,HB 2121,2121,,,,,1994-03-11,0,0,HB 2121,"By resolution, reintroduced and retained in present status.",0,H Approp,0,0,1993-04-02,,0,Expanding the use of public safety and education account moneys.,House,136,,0,1,0,0,Publ safety & education acct,Bill,B,"(Fisher, R.)",0,0
1,0,1993-94,EHB 2122,2122,,,,,1994-03-11,0,0,EHB 2122,"By resolution, reintroduced and retained in present status.",0,H Rules X,0,1,1993-04-02,,0,Authorizing early retirement for certain employees of PERS and TRS.,House,646,,0,1,0,0,PERS/TRS early retirement,Bill,B,(Linville),1,0
1,0,1993-94,EHB 2123,2123,,,,,1993-05-28,1,0,EHB 2123,"Chapter 9, 1993 Laws 1st Special Session",0,C 9 L 93 E1,0,1,1993-04-02,,0,Allowing insurance benefits for graduate service appointments.,House,207,,0,1,0,0,Graduate service/insurance,Bill,B,(Jacobsen),0,0
1,0,1993-94,HB 2124,2124,,,,,1994-03-11,0,0,HB 2124,"By resolution, reintroduced and retained in present status.",0,H Rules X,0,0,1993-04-06,,0,"Changing notice and verification procedures for initiatives, referendums, and other ballot measures.",House,973,,0,0,0,0,Initiatives and referendums,Bill,B,(Patterson),0,0
1,0,1993-94,HB 2125,2125,,,,,1994-03-11,0,0,HB 2125,"By resolution, reintroduced and retained in present status.",0,H Education,0,0,1993-04-07,,0,Establishing a school administrator compensation lid.,House,219,,0,0,0,0,School administrator compens,Bill,B,(Jones),0,0
1,0,1993-94,HB 2126,2126,,,,,1994-03-11,0,0,HB 2126,"By resolution, reintroduced and retained in present status.",0,H Approp,0,0,1993-04-07,,0,Establishing retirement system contribution rates.,House,407,,0,1,0,0,Retirement contribution rate,Bill,B,(Sommers),0,0
1,0,1993-94,HB 2127,2127,,,,,1994-03-11,0,0,HB 2127,"By resolution, reintroduced and retained in present status.",0,H Approp,0,0,1993-04-08,,0,"Modifying boards, committees, commissions, and other divisions of government.",House,630,,0,0,0,0,"Boards, commttees, commissns",Bill,B,(Dunshee),0,0
1,0,1993-94,HB 2128,2128,,,,,1994-03-11,0,0,HB 2128,"By resolution, reintroduced and retained in present status.",0,H Approp,0,0,1993-04-09,,0,Providing a postretirement adjustment for certain retirees.,House,251,,0,0,0,0,Postretirement benefit adjus,Bill,B,(Locke),0,0
1,0,1993-94,HB 2129,2129,,,,,1993-05-28,0,0,HB 2129,"Chapter 10, 1993 Laws 1st Special Session",0,C 10 L 93 E1,0,0,1993-04-09,,0,Allowing state agencies to make purchases based on the lowest cost.,House,648,,0,0,0,0,Agency purchasing,Bill,B,(Mastin),1,0
1,0,1993-94,HB 2130,2130,,,,,1993-05-07,0,0,HB 2130,"Chapter 264, 1993 Laws",0,C 264 L 93,0,0,1993-04-09,,0,Modifying requirements for the acquired human immunodeficiency syndrome insurance program.,House,251,,0,1,0,0,HIV/AIDS insurance program,Bill,B,(Locke),1,0
1,1,1993-94,HB 2131,2131,,1993-94,SB 5985,SHlth/Hmn Ser,1994-03-11,0,0,HB 2131,"By resolution, reintroduced and retained in present status.",0,H Human Serv,0,0,1993-04-09,,0,Promoting childhood vaccinations.,House,245,,0,0,0,0,Childhood vaccinations,Bill,B,(Leonard),0,0
